frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
92.1,W221DG,EXTON,PA,DRL,0.17,40.05877777777778,75.598,D,TEMPLE UNIVERSITY PUBLIC RADIO,,BROADCAST SCIENCES LLC,Classical/Jazz,
99.7,W259DM,Lebanon,PA,DRL,0.14,40.359722222222224,76.45805555555556,D,99.7 WILBUR RADIO,,"Southern Belle Media Family, LLC",Classic Hits,
102.9,W275DE,Quinns Corner,PA,NDIR,0.045,41.35286111111111,74.79541666666667,D,WDLC COUNTRY 107.7,,,Country,
103.7,W279EM,SCRANTON,PA,DRL,0.138,41.43594444444444,75.72711111111111,D,LOUD,364.0,,Urban Contemporary,
104.1,W281CQ,SCRANTON,PA,DRL,0.099,41.43597222222222,75.72705555555555,D,THE MOTHERSHIP,351.0,"Geos Communications, LLC",Oldies,
106.5,W293DX,BELLEFONTE,PA,NDIR,0.25,40.90241666666667,77.7683888888889,D,970 NEWSTALK,,"SCHLESINGER COMMUNICATIONS, INC.",Talk/Sports,
90.9,WCGN,TIDIOUTE,PA,NDIR,12.0,42.00172222222222,79.05502777777778,B,FAMILY LIFE NETWORK,199.0,"FAMILY LIFE MINISTRIES, INC.",Contemporary Christian,
91.1,WCOX,BEDFORD,PA,DRL,1.9,40.29,78.56261111111111,B,FAMILY LIFE NETWORK,398.0,"FAMILY LIFE MINISTRIES, INC",Contemporary Christian,
88.1,WFCP,PINE GROVE,PA,DRL,0.2,40.50658333333333,76.37655555555556,A,,196.0,Calvary Chapel Bible Broadcasting,,
98.7,WFXS,PLEASANT GAP,PA,NDIR,2.2,40.93283333333333,77.76083333333334,A,98.7 THE FOX,168.0,SkyWave Broadcasting Inc,Sports,
88.7,WKGQ,Connellsville,PA,NDIR,0.036,40.01444444444444,79.5175,A,,713.0,"Broadcast Educational Communications, Inc.",,
102.3,WLMZ-FM,PITTSTON,PA,NDIR,5.8,41.305638888888886,75.76019444444445,A,LA MEGA 102.3,22.0,"Audacy License, LLC",Tropical,
91.7,WLWG,MOUNT PLEASANT,PA,DRL,0.8,40.155499999999996,79.42841666666668,A,,275.0,Calvary Chapel of Westmoreland County,,
91.1,WPMY,LOCK HAVEN,PA,DRL,0.3,41.229222222222226,77.36691666666665,A,,279.0,"Central Pennsylvania Christian Institute, Inc.",,
105.9,WQWK,PHILIPSBURG,PA,DRL,0.71,40.792833333333334,78.17444444444445,A,QWIK ROCK 105.9,290.0,"SCHLESINGER COMMUNICATIONS, INC.",Rock,
88.3,WTWH,HAZLETON,PA,DRL,0.4,40.85,76.11516666666667,A,,247.0,Calvary Chapel Bible Broadcasting,,
90.5,WVAM-FM,HUNTERSVILLE,PA,NDIR,0.004,41.33927777777778,76.77811111111112,A,,266.0,"Cedar Cove Broadcasting, Inc.",,
93.7,KDKA-FM,PITTSBURGH,PA,NDIR,41.0,40.44116666666666,80.02533333333334,B,93.7 THE FAN,167.0,"Audacy License, LLC",Sports,Pittsburgh
